Geographic Area,Indicator,Sex,2016,2017,2018
Afghanistan,Youth literacy rate for 15-24 years,Total,,,65.42055
Afghanistan,Youth literacy rate for 15-24 years,Female,,,56.25475
Afghanistan,Youth literacy rate for 15-24 years,Male,,,74.0848
Albania,Youth literacy rate for 15-24 years,Total,,,99.33
Albania,Youth literacy rate for 15-24 years,Female,,,99.63
Albania,Youth literacy rate for 15-24 years,Male,,,99.05
Armenia,Youth literacy rate for 15-24 years,Total,,99.84702,
Armenia,Youth literacy rate for 15-24 years,Female,,99.87416,
Armenia,Youth literacy rate for 15-24 years,Male,,99.82128,
Argentina,Youth literacy rate for 15-24 years,Total,99.50271,,99.50552
Argentina,Youth literacy rate for 15-24 years,Female,99.62893,,99.75765
Argentina,Youth literacy rate for 15-24 years,Male,99.38448,,99.24183
Aruba,Youth literacy rate for 15-24 years,Total,,,99.5
Aruba,Youth literacy rate for 15-24 years,Female,,,99.39
Aruba,Youth literacy rate for 15-24 years,Male,,,99.6
Azerbaijan,Youth literacy rate for 15-24 years,Total,99.94048,99.93805,
Azerbaijan,Youth literacy rate for 15-24 years,Female,99.91648,99.91311,
Azerbaijan,Youth literacy rate for 15-24 years,Male,99.96238,99.96065,
Bangladesh,Youth literacy rate for 15-24 years,Total,92.24265,92.95076,93.29644
Bangladesh,Youth literacy rate for 15-24 years,Female,93.53532,94.37776,94.91259
Bangladesh,Youth literacy rate for 15-24 years,Male,90.90535,91.54129,91.80372
Burkina Faso,Youth literacy rate for 15-24 years,Total,,,58.29
Burkina Faso,Youth literacy rate for 15-24 years,Female,,,54.67
Burkina Faso,Youth literacy rate for 15-24 years,Male,,,61.79
Bahrain,Youth literacy rate for 15-24 years,Total,99.48031,99.59822,99.6872
Bahrain,Youth literacy rate for 15-24 years,Female,98.85029,99.08393,99.30134
Bahrain,Youth literacy rate for 15-24 years,Male,99.95573,99.9896,99.97614
Burundi,Youth literacy rate for 15-24 years,Total,,88.22177,
Burundi,Youth literacy rate for 15-24 years,Female,,85.61855,
Burundi,Youth literacy rate for 15-24 years,Male,,91.03415,
Benin,Youth literacy rate for 15-24 years,Total,,,60.94808
Benin,Youth literacy rate for 15-24 years,Female,,,51.94362
Benin,Youth literacy rate for 15-24 years,Male,,,69.76118
Brunei Darussalam,Youth literacy rate for 15-24 years,Total,,,99.70894
Brunei Darussalam,Youth literacy rate for 15-24 years,Female,,,99.78966
Brunei Darussalam,Youth literacy rate for 15-24 years,Male,,,99.63516
Brazil,Youth literacy rate for 15-24 years,Total,99.11096,99.15541,99.20417
Brazil,Youth literacy rate for 15-24 years,Female,99.45533,99.48134,99.43153
Brazil,Youth literacy rate for 15-24 years,Male,98.77936,98.84128,98.98358
Bhutan,Youth literacy rate for 15-24 years,Total,,93.09063,
Bhutan,Youth literacy rate for 15-24 years,Female,,92.89112,
Bhutan,Youth literacy rate for 15-24 years,Male,,93.27016,
Belarus,Youth literacy rate for 15-24 years,Total,,,99.85
Belarus,Youth literacy rate for 15-24 years,Female,,,99.87
Belarus,Youth literacy rate for 15-24 years,Male,,,99.83
Democratic Republic of the Congo,Youth literacy rate for 15-24 years,Total,84.98951,,
Democratic Republic of the Congo,Youth literacy rate for 15-24 years,Female,79.71484,,
Democratic Republic of the Congo,Youth literacy rate for 15-24 years,Male,90.96097,,
Central African Republic,Youth literacy rate for 15-24 years,Total,,,38.26865
Central African Republic,Youth literacy rate for 15-24 years,Female,,,28.70666
Central African Republic,Youth literacy rate for 15-24 years,Male,,,47.80493
Congo,Youth literacy rate for 15-24 years,Total,,,82.05479
Congo,Youth literacy rate for 15-24 years,Female,,,78.74231
Congo,Youth literacy rate for 15-24 years,Male,,,85.34165
Côte d'Ivoire,Youth literacy rate for 15-24 years,Total,,,58.42015
Côte d'Ivoire,Youth literacy rate for 15-24 years,Female,,,53.0251
Côte d'Ivoire,Youth literacy rate for 15-24 years,Male,,,63.84492
Chile,Youth literacy rate for 15-24 years,Total,,99.00866,
Chile,Youth literacy rate for 15-24 years,Female,,99.01156,
Chile,Youth literacy rate for 15-24 years,Male,,99.00582,
Cameroon,Youth literacy rate for 15-24 years,Total,,,85.08
Cameroon,Youth literacy rate for 15-24 years,Female,,,82.41
Cameroon,Youth literacy rate for 15-24 years,Male,,,87.72
China,Youth literacy rate for 15-24 years,Total,,,99.7836
China,Youth literacy rate for 15-24 years,Female,,,99.78338
China,Youth literacy rate for 15-24 years,Male,,,99.78379
Colombia,Youth literacy rate for 15-24 years,Total,98.66831,,98.85165
Colombia,Youth literacy rate for 15-24 years,Female,99.02527,,99.0696
Colombia,Youth literacy rate for 15-24 years,Male,98.31204,,98.63383
Costa Rica,Youth literacy rate for 15-24 years,Total,,,99.43
Costa Rica,Youth literacy rate for 15-24 years,Female,,,99.53
Costa Rica,Youth literacy rate for 15-24 years,Male,,,99.34
Dominican Republic,Youth literacy rate for 15-24 years,Total,98.83941,,
Dominican Republic,Youth literacy rate for 15-24 years,Female,98.86737,,
Dominican Republic,Youth literacy rate for 15-24 years,Male,98.81259,,
Algeria,Youth literacy rate for 15-24 years,Total,,,97.42652
Algeria,Youth literacy rate for 15-24 years,Female,,,97.25216
Algeria,Youth literacy rate for 15-24 years,Male,,,97.59406
