Geographic Area,Indicator,Sex,2016,2017,2018,2019
Angola,Adjusted net attendance rate for adolescents of lower secondary school age,Total,31.4,,,
Angola,Adjusted net attendance rate for adolescents of lower secondary school age,Male,32.2,,,
Angola,Adjusted net attendance rate for adolescents of lower secondary school age,Female,30.8,,,
Angola,Adjusted net attendance rate for youth of upper secondary school age,Total,30,,,
Angola,Adjusted net attendance rate for youth of upper secondary school age,Male,32.1,,,
Angola,Adjusted net attendance rate for youth of upper secondary school age,Female,28.1,,,
Armenia,Adjusted net attendance rate for adolescents of lower secondary school age,Total,94.2,,,
Armenia,Adjusted net attendance rate for adolescents of lower secondary school age,Male,95,,,
Armenia,Adjusted net attendance rate for adolescents of lower secondary school age,Female,93.2,,,
Armenia,Adjusted net attendance rate for youth of upper secondary school age,Total,85.2,,,
Armenia,Adjusted net attendance rate for youth of upper secondary school age,Male,81.4,,,
Armenia,Adjusted net attendance rate for youth of upper secondary school age,Female,89.1,,,
Burundi,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,24.2,,
Burundi,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,21.1,,
Burundi,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,27.4,,
Burundi,Adjusted net attendance rate for youth of upper secondary school age,Total,,12,,
Burundi,Adjusted net attendance rate for youth of upper secondary school age,Male,,12.6,,
Burundi,Adjusted net attendance rate for youth of upper secondary school age,Female,,11.5,,
Burundi,Completion rate for adolescents of lower secondary school age,Total,,22.2,,
Burundi,Completion rate for adolescents of lower secondary school age,Male,,25.7,,
Burundi,Completion rate for adolescents of lower secondary school age,Female,,19.4,,
Burundi,Completion rate for youth of upper secondary education school age,Total,,3.5,,
Burundi,Completion rate for youth of upper secondary education school age,Male,,3.6,,
Burundi,Completion rate for youth of upper secondary education school age,Female,,3.4,,
Burundi,Out-of-school rate for adolescents of lower secondary school age,Total,,29.4,,
Burundi,Out-of-school rate for adolescents of lower secondary school age,Male,,30.5,,
Burundi,Out-of-school rate for adolescents of lower secondary school age,Female,,28.3,,
Burundi,Out-of-school rate for youth of upper secondary school age,Total,,53.5,,
Burundi,Out-of-school rate for youth of upper secondary school age,Male,,52.6,,
Burundi,Out-of-school rate for youth of upper secondary school age,Female,,54.3,,
Benin,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,,30.4,
Benin,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,,32.5,
Benin,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,,28.1,
Benin,Adjusted net attendance rate for youth of upper secondary school age,Total,,,11.8,
Benin,Adjusted net attendance rate for youth of upper secondary school age,Male,,,14.8,
Benin,Adjusted net attendance rate for youth of upper secondary school age,Female,,,9,
Benin,Completion rate for adolescents of lower secondary school age,Total,,,18.6,
Benin,Completion rate for adolescents of lower secondary school age,Male,,,25.1,
Benin,Completion rate for adolescents of lower secondary school age,Female,,,13.4,
Benin,Completion rate for youth of upper secondary education school age,Total,,,8.4,
Benin,Completion rate for youth of upper secondary education school age,Male,,,12.1,
Benin,Completion rate for youth of upper secondary education school age,Female,,,5.4,
Belize,Out-of-school rate for adolescents of lower secondary school age,Total,9.2,,,
Belize,Out-of-school rate for adolescents of lower secondary school age,Male,9.7,,,
Belize,Out-of-school rate for adolescents of lower secondary school age,Female,8.5,,,
Belize,Out-of-school rate for youth of upper secondary school age,Total,32.7,,,
