,,,,,,,,,
Country,Region,Sub-region,Least developed countries (LDC),Africa sub-regions,Africa region, Total , Male , Female ,Total population
Afghanistan,SA,,LDC,,, 65 , 74 , 56 ,8071.334
Albania,ECA,EECA,,,, 99 , 99 , 100 ,458.058
Algeria,MENA,,,Northern Africa,All, 97 , 98 , 97 ,6070.282
Andorra,ECA,WE,,,,,,,
Angola,SSA,ESA,LDC,Southern Africa,All,,,,5958.112
Anguilla,LAC,,,,,,,,
Antigua and Barbuda,LAC,,,,,,,,14.873
Argentina,LAC,,,,, 100 , 99 , 100 ,7017.353
Armenia,ECA,EECA,,,,,,,366.885
Australia,EAP,,,,,,,,3118.413
Austria,ECA,WE,,,,,,,982.733
Azerbaijan,ECA,EECA,,,,,,,1442.39
Bahamas,LAC,,,,,,,,66.146
Bahrain,MENA,,,,, 100 , 100 , 99 ,192.456
Bangladesh,SA,,LDC,,, 93 , 92 , 95 ,30778.44
Barbados,LAC,,,,,,,,37.917
Belarus,ECA,EECA,,,, 100 , 100 , 100 ,926.642
Belgium,ECA,WE,,,,,,,1305.873
Belize,LAC,,,,,,,,77.866
Benin,SSA,WCA,LDC,Western Africa,All, 61 , 70 , 52 ,2279.108
Bhutan,SA,,LDC,,,,,,148.478
Bolivia (Plurinational State of),LAC,,,,,,,,2161.078
Bosnia and Herzegovina,ECA,EECA,,,,,,,402.742
Botswana,SSA,ESA,,Southern Africa,All,,,,414.644
Brazil,LAC,,,,, 99 , 99 , 99 ,33922.771
British Virgin Islands,LAC,,,,,,,,
Brunei Darussalam,EAP,,,,, 100 , 100 , 100 ,69.575
Bulgaria,ECA,EECA,,,,,,,628.999
Burkina Faso,SSA,WCA,LDC,Western Africa,All, 58 , 62 , 55 ,3960.255
Burundi,SSA,ESA,LDC,Central Africa,All,,,,2156.686
Cabo Verde,SSA,WCA,,Western Africa,All,,,,98.339
Cambodia,EAP,,LDC,,,,,,3080.402
Cameroon,SSA,WCA,,Central Africa,All, 85 , 88 , 82 ,4993.152
Canada,NA,,,,,,,,4487.299
Central African Republic,SSA,WCA,LDC,Central Africa,All, 38 , 48 , 29 ,1009.933
Chad,SSA,WCA,LDC,Central Africa,All,,,,3166.358
Chile,LAC,,,,,,,,2740.686
China,EAP,,,,, 100 , 100 , 100 ,173433.916
Colombia,LAC,,,,, 99 , 99 , 99 ,8714.657
Comoros,SSA,ESA,LDC,Eastern Africa,All, 78 , 78 , 78 ,162.798
Congo,,,,Central Africa,All, 82 , 85 , 79 ,978.996
Cook Islands,EAP,,,,,,,,
Costa Rica,LAC,,,,, 99 , 99 , 100 ,787.637
Côte d'Ivoire,SSA,WCA,,Western Africa,All, 58 , 64 , 53 ,5179.647
Croatia,ECA,EECA,,,,,,,453.821
Cuba,LAC,,,,,,,,1385.547
Cyprus,ECA,WE,,,,,,,170.543
Czechia,ECA,WE,,,,,,,978.187
Democratic People's Republic of Korea,EAP,,,,,,,,
Democratic Republic of the Congo,SSA,WCA,LDC,Central Africa,All,,,,15975.697
Denmark,ECA,WE,,,,,,,730.829
Djibouti,SSA,ESA,LDC,Eastern Africa,All,,,,180.006
Dominica,LAC,,,,,,,,
Dominican Republic,LAC,,,,,,,,1910.811
Ecuador,LAC,,,,,,,,3091.75
Egypt,MENA,,,Northern Africa,All,,,,16851.101
El Salvador,LAC,,,,,,,,1264.874
Equatorial Guinea,SSA,WCA,,Central Africa,All,,,,245.005
Eritrea,SSA,ESA,LDC,Eastern Africa,All, 93 , 94 , 93 ,624.468
Estonia,ECA,WE,,,,,,,124.475
Ethiopia,SSA,ESA,LDC,Eastern Africa,All,,,,23648.122
Fiji,EAP,,,,,,,,145.367
Finland,ECA,WE,,,,,,,624.214
France,ECA,WE,,,,,,,7553.881
Gabon,SSA,WCA,,Central Africa,All, 90 , 88 , 91 ,367.037
Gambia,SSA,WCA,LDC,Western Africa,All,,,,462.606
Georgia,ECA,EECA,,,,,,,470.65
Germany,ECA,WE,,,,,,,8701.736
Ghana,SSA,WCA,,Western Africa,All, 92 , 93 , 92 ,5792.304
Greece,ECA,WE,,,,,,,1061.067
Grenada,LAC,,,,,,,,17.158
Guatemala,LAC,,,,,,,,3655.014
Guinea,,,,Western Africa,All,,,,2656.904
Guinea-Bissau,SSA,WCA,LDC,Western Africa,All,,,,371.329
Guyana,LAC,,,,,,,,157.179
Haiti,,,,,,,,,2179.425
Holy See,ECA,WE,,,,,,,
Honduras,LAC,,,,, 97 , 95 , 98 ,2021.598
Hungary,ECA,WE,,,,,,,1052.326
Iceland,ECA,WE,,,,,,,44.827
India,SA,,,,, 92 , 93 , 90 ,246377.142
Indonesia,,,,,, 100 , 100 , 100 ,45402.412
Iran (Islamic Republic of),MENA,,,,,,,,11383.21
Iraq,,,,,, 56 , 60 , 53 ,7679.085
Ireland,ECA,WE,,,,,,,572.628
Israel,MENA,,,,,,,,1245.836
Italy,ECA,WE,,,, 100 , 100 , 100 ,5837.183
Jamaica,LAC,,,,,,,,520.062
Japan,EAP,,,,,,,,11857.893
Jordan,,,,,, 99 , 99 , 99 ,1926.351
Kazakhstan,ECA,EECA,,,,,,,2291.158
Kenya,SSA,ESA,,Eastern Africa,All, 88 , 88 , 88 ,10609.081
Kiribati,EAP,,LDC,,,,,,21.416
Kuwait,MENA,,,,, 99 , 99 , 100 ,428.423
Kyrgyzstan,ECA,EECA,,,, 100 , 100 , 100 ,1034.711
Lao People's Democratic Republic,,,,,,,,,1402.731
Latvia,ECA,WE,,,,,,,170.517
Lebanon,MENA,,,,, 100 , 100 , 100 ,1212.291
Lesotho,SSA,ESA,LDC,Southern Africa,All,,,,420.588
Liberia,SSA,WCA,LDC,Western Africa,All,,,,949.537
Libya,MENA,,,Northern Africa,All,,,,1092.644
Liechtenstein,ECA,WE,,,,,,,
Lithuania,ECA,WE,,,,,,,299.393
Luxembourg,ECA,WE,,,,,,,74.33
Madagascar,SSA,ESA,LDC,Eastern Africa,All, 81 , 82 , 81 ,5409.166
Malawi,SSA,ESA,LDC,Southern Africa,All,,,,3769.011
Malaysia,EAP,,,,,,,,5626.242
Maldives,SA,,,,,,,,88.889
Mali,SSA,WCA,LDC,Western Africa,All, 50 , 58 , 43 ,3714.057
Malta,ECA,WE,,,, 99 , 99 , 100 ,48.675
Marshall Islands,EAP,,,,,,,,
Mauritania,,,,Northern Africa,All,,,,844.254
Mauritius,SSA,ESA,,Eastern Africa,All, 99 , 99 , 99 ,193.155
Mexico,LAC,,,,, 99 , 99 , 99 ,22125.48
Micronesia (Federated States of),EAP,,,,,,,,
Monaco,ECA,WE,,,,,,,
Mongolia,EAP,,,,, 99 , 98 , 99 ,459.616
Montenegro,ECA,EECA,,,, 99 , 99 , 99 ,82.261
Montserrat,LAC,,,,,,,,
Morocco,MENA,,,Northern Africa,All, 98 , 98 , 97 ,5895.199
Mozambique,SSA,ESA,LDC,Southern Africa,All,,,,6004.177
Myanmar,EAP,,LDC,,,,,,9747.715
Namibia,SSA,ESA,,Southern Africa,All, 95 , 94 , 96 ,487.362
Nauru,EAP,,,,,,,,
Nepal,SA,,LDC,,, 92 , 94 , 91 ,6321.521
Netherlands,ECA,WE,,,,,,,2054.178
New Zealand,EAP,,,,,,,,640.137
Nicaragua,LAC,,,,,,,,1194.323
Niger,SSA,WCA,LDC,Western Africa,All,,,,4315.119
Nigeria,SSA,WCA,,Western Africa,All, 75 , 82 , 68 ,37501.633
Niue,EAP,,,,,,,,
Norway,ECA,WE,,,,,,,677.524
Oman,MENA,,,,, 99 , 98 , 99 ,634.219
Pakistan,,,,,,,,,41935.164
Palau,EAP,,,,,,,,
Panama,LAC,,,,, 99 , 99 , 99 ,691.775
Papua New Guinea,EAP,,,,,,,,1688.713
Paraguay,LAC,,,,, 98 , 98 , 99 ,1346.192
Peru,LAC,,,,, 99 , 99 , 99 ,5288.346
Philippines,,,,,,,,,20338.263
Poland,ECA,WE,,,,,,,3948.936
Portugal,ECA,WE,,,, 100 , 100 , 100 ,1075.275
Qatar,MENA,,,,,,,,384.071
Republic of Korea,EAP,,,,,,,,6163.941
Republic of Moldova,ECA,EECA,,,,,,,483.97
Romania,ECA,EECA,,,, 99 , 99 , 99 ,2044.819
Russian Federation,ECA,EECA,,,, 100 , 100 , 100 ,13883.633
Rwanda,SSA,ESA,LDC,Eastern Africa,All, 86 , 84 , 89 ,2409.38
Saint Kitts and Nevis,LAC,,,,,,,,
Saint Lucia,LAC,,,,,,,,31.023
Saint Vincent and the Grenadines,LAC,,,,,,,,18.383
Samoa,EAP,,,,, 99 , 99 , 99 ,34.948
San Marino,ECA,WE,,,, 100 , 100 , 100 ,
Sao Tome and Principe,SSA,WCA,LDC,Central Africa,All, 98 , 98 , 98 ,40.495
Saudi Arabia,MENA,,,,,,,,4762.546
Senegal,,,,Western Africa,All,,,,3107.585
Serbia,ECA,EECA,,,, 98 , 98 , 98 ,1061.457
Seychelles,SSA,ESA,,Eastern Africa,All, 99 , 99 , 100 ,13.07
Sierra Leone,,,,Western Africa,All, 67 , 71 , 63 ,1552.678
Singapore,EAP,,,,, 100 , 100 , 100 ,722.7
Slovakia,ECA,WE,,,,,,,585.427
Slovenia,ECA,WE,,,,,,,190.799
Solomon Islands,EAP,,LDC,,,,,,124.899
Somalia,SSA,ESA,LDC,Eastern Africa,All,,,,3138.843
South Africa,,,,Southern Africa,All,,,,9836.943
South Sudan,SSA,ESA,LDC,Eastern Africa,All, 48 , 48 , 47 ,2220.233
Spain,ECA,WE,,,, 100 , 100 , 100 ,4477.396
Sri Lanka,SA,,,,,,,,3119.511
State of Palestine,MENA,,,,,,,,1006.698
Sudan,SSA,ESA,LDC,Eastern Africa,All, 73 , 73 , 73 ,8501.047
Suriname,LAC,,,,, 99 , 99 , 98 ,98.991
Eswatini,SSA,ESA,,Southern Africa,All, 95 , 94 , 97 ,240.617
Sweden,ECA,WE,,,,,,,1116.363
